SUBJ_NUM,GROUP,TRIAL_RT
15,NT,0.256344262494923
15,NT,0.236686720821654
15,NT,0.194765474174795
15,NT,0.277773892557036
15,NT,0.258254935638289
15,NT,0.257853296488609
15,NT,0.316457645355197
15,NT,0.251519139132036
15,NT,0.273762633828924
15,NT,0.318367676902477
16,NT,0.32806066456286
16,NT,0.217631039581266
16,NT,0.231264077104921
16,NT,NaN
16,NT,0.252895300183786
16,NT,NaN
16,NT,NaN
16,NT,0.25523746097067
16,NT,NaN
16,NT,NaN
16,NT,0.2475892682135
16,NT,0.283118830414534
16,NT,0.212175194011819
16,NT,0.180398029389771
16,NT,NaN
16,NT,0.307610947877379
16,NT,0.212344255610872
16,NT,0.217854957980012
16,NT,NaN
16,NT,0.277784888844405
17,NT,0.191301789802182
17,NT,NaN
17,NT,0.212907607300874
17,NT,0.241190215884943
17,NT,0.224578598339031
17,NT,0.180252186566475
17,NT,0.212627549711024
17,NT,0.194216570170306
17,NT,NaN
17,NT,0.210297586051143
17,NT,0.211625052611048
17,NT,0.225715510250172
17,NT,0.209780778746163
17,NT,0.215373589767279
17,NT,NaN
17,NT,0.207938750474783
17,NT,0.237697997187234
17,NT,0.221579768614045
17,NT,0.196449973309517
17,NT,0.193308708796567
18,NT,0.214633805198051
18,NT,0.193989683713658
18,NT,0.20278922766438
18,NT,0.208382054833061
18,NT,NaN
18,NT,0.215546801992938
18,NT,0.220440605965533
18,NT,0.185839759759297
18,NT,0.233627731491685
18,NT,0.207943521235516
18,NT,0.225384454737847
18,NT,0.214854836396813
18,NT,0.229661360313896
18,NT,0.221742733158241
18,NT,0.194175106112619
18,NT,NaN
18,NT,NaN
18,NT,NaN
18,NT,0.200850312475238
18,NT,0.211656781214722
19,NT,0.20943553840646
19,NT,0.217487222654942
19,NT,0.22313742045838
19,NT,0.166165474798828
19,NT,0.197079079030269
19,NT,NaN
19,NT,0.215724122267291
19,NT,0.231291759751267
19,NT,NaN
19,NT,0.247791954154257
19,NT,0.242769556106756
19,NT,0.275654457987782
19,NT,0.210430971540172
19,NT,0.211066791221454
19,NT,0.18915795916639
19,NT,0.212692590487214
19,NT,0.245128055751955
19,NT,0.210480053483278
19,NT,0.221018556182464
19,NT,0.196643115888563
20,NT,0.304617242294144
20,NT,0.251527408991447
20,NT,0.227269475527291
20,NT,0.212351954810829
20,NT,NaN
20,NT,0.24429112343197
20,NT,0.240797611451534
20,NT,0.265237117714672
20,NT,NaN
20,NT,NaN
20,NT,NaN
20,NT,0.273718107267179
20,NT,0.255067116171624
20,NT,0.256709291362428
20,NT,NaN
20,NT,0.355523710809067
20,NT,0.307265125479315
20,NT,0.265948972910686
20,NT,0.272997590471214
20,NT,0.239681227457785
21,NT,0.200271652654163
21,NT,0.198122298871814
21,NT,NaN
21,NT,NaN
21,NT,0.292684882921171
21,NT,0.191076588853644
21,NT,NaN
21,NT,0.235883557636044
21,NT,NaN
21,NT,NaN
21,NT,0.203259575210701
21,NT,0.204727230965066
21,NT,0.210296302854855
21,NT,0.201401827784793
21,NT,NaN
21,NT,0.248160538121195
21,NT,0.182095818833215
21,NT,NaN
21,NT,NaN
21,NT,0.179683730610904
22,NT,0.199567177892068
22,NT,0.175607336803096
22,NT,0.238837475490951
22,NT,0.189256374919159
22,NT,0.218821217393982
22,NT,0.210954261751512
22,NT,0.220772958947984
22,NT,0.212432183076181
22,NT,0.188856980074528
22,NT,0.214798717830269
22,NT,0.210773972673052
22,NT,0.222278468992845
22,NT,0.275423005656329
22,NT,0.171717006457044
22,NT,NaN
22,NT,NaN
22,NT,NaN
22,NT,NaN
22,NT,0.184273082134828
22,NT,0.2158727531233
23,NT,0.249719141313463
23,NT,0.22701209344462
23,NT,0.196931181762246
23,NT,0.217445895806079
23,NT,NaN
23,NT,0.165421435596906
23,NT,NaN
23,NT,NaN
23,NT,NaN
23,NT,NaN
23,NT,0.215146094636706
23,NT,0.231724937492501
23,NT,0.16476027083054
23,NT,0.188209645370595
23,NT,0.152732589809016
23,NT,0.235186027577083
23,NT,NaN
23,NT,NaN
23,NT,0.212987765404241
23,NT,0.164789463452441
24,NT,0.283334605832237
24,NT,0.274690060970876
24,NT,0.209350557194121
24,NT,0.2238746885853
24,NT,0.23508978816422
24,NT,0.189339816875645
24,NT,0.249008252850451
24,NT,0.250818195408353
24,NT,NaN
24,NT,0.27374210275418
24,NT,0.272045081107369
24,NT,0.302949160567761
24,NT,0.289152919935866
24,NT,NaN
24,NT,0.205913526962755
24,NT,0.244382024274146
24,NT,0.280430100352044
24,NT,0.175764285297248
24,NT,0.271539182593755
24,NT,0.260960225533856
25,ASD,0.276481472689267
25,ASD,0.295494470101077
25,ASD,0.29739070124944
25,ASD,0.268644722440008
25,ASD,0.266129994649106
25,ASD,0.301222300781847
25,ASD,0.22677846656461
25,ASD,0.326164268602056
25,ASD,0.288613374155823
25,ASD,NaN
25,ASD,0.252133941735563
25,ASD,0.210944567559209
25,ASD,0.211384059468067
25,ASD,0.27679104180755
25,ASD,NaN
