Subject,Group,Phase,Entropy
9,NT,Lift 1,1.77996800766852
9,NT,Lift 1,1.7707051102051
9,NT,Lift 1,1.67343613230439
9,NT,Lift 1,2.27543163854346
9,NT,Lift 1,1.82036319273303
9,NT,Lift 1,1.56335329016629
9,NT,Lift 1,2.27882692614612
9,NT,Lift 1,1.95862610305897
9,NT,Lift 1,2.20861985948627
9,NT,Lift 2,1.53320969297408
9,NT,Lift 2,2.12365951680046
9,NT,Lift 2,2.12365951680046
9,NT,Lift 2,2.10475430550836
9,NT,Lift 2,1.52538698611713
9,NT,Lift 2,2.28909420369092
9,NT,Lift 2,2.26108938522469
9,NT,Lift 2,2.07871035329888
9,NT,Lift 2,2.53629123629304
9,NT,Lift 2,2.21815413446862
9,NT,Lift 2,2.01335963480361
10,NT,Preparation,2.01063608701943
10,NT,Preparation,1.66125532748987
10,NT,Preparation,2.36949172265507
10,NT,Preparation,2.36949172265507
10,NT,Preparation,1.73967035580943
10,NT,Preparation,2.1778123712482
10,NT,Preparation,2.45188764430518
10,NT,Preparation,2.21221590345751
10,NT,Preparation,1.51513637534573
10,NT,Preparation,2.28637070008654
10,NT,Preparation,2.12964453671037
10,NT,Lift 1,1.71880694146007
10,NT,Lift 1,1.71562314102832
10,NT,Lift 1,1.43415004956857
10,NT,Lift 1,1.43415004956857
10,NT,Lift 1,2.46486894986632
10,NT,Lift 1,1.69319182942145
10,NT,Lift 1,1.05685538307649
10,NT,Lift 1,2.08022672453514
10,NT,Lift 1,1.21917607778522
10,NT,Lift 1,1.56410335266441
10,NT,Lift 1,1.67414108637548
10,NT,Lift 2,2.05246711622818
10,NT,Lift 2,2.17818825641445
10,NT,Lift 2,1.71761767777278
10,NT,Lift 2,1.73840344145009
10,NT,Lift 2,2.35131403161356
10,NT,Lift 2,2.32206350372639
10,NT,Lift 2,1.89289352239635
10,NT,Lift 2,1.77171169018014
10,NT,Lift 2,2.46535532446901
10,NT,Lift 2,2.26089768141838
10,NT,Lift 2,2.12309377868963
11,NT,Preparation,2.08764659867675
11,NT,Preparation,2.02464866910115
11,NT,Preparation,2.18988813903469
11,NT,Preparation,2.08107598337767
11,NT,Preparation,2.30476325635342
11,NT,Preparation,2.36490547090073
11,NT,Preparation,2.46279068453992
11,NT,Preparation,2.27792329749628
11,NT,Preparation,1.9873293948595
11,NT,Preparation,2.25391515188433
11,NT,Preparation,2.08280652010372
11,NT,Preparation,2.10072780227087
11,NT,Lift 1,2.60346474412274
11,NT,Lift 1,2.28045843012708
11,NT,Lift 1,2.59195268487504
11,NT,Lift 1,1.96743086099423
11,NT,Lift 1,2.43874823091615
11,NT,Lift 1,1.96231326656973
11,NT,Lift 1,2.57743587682306
11,NT,Lift 1,2.27622052571042
11,NT,Lift 1,1.84391127066487
11,NT,Lift 1,1.91137531517099
11,NT,Lift 1,2.63429440326096
11,NT,Lift 1,2.21469967907494
11,NT,Lift 2,1.83266494286298
11,NT,Lift 2,2.37909138534003
11,NT,Lift 2,1.0667784312948
11,NT,Lift 2,2.6039059369856
11,NT,Lift 2,2.17930138052339
11,NT,Lift 2,1.59614281867705
11,NT,Lift 2,2.00037702764429
11,NT,Lift 2,2.19074684434018
11,NT,Lift 2,2.20457670908866
11,NT,Lift 2,2.45417150726685
11,NT,Lift 2,2.35587718114256
11,NT,Lift 2,2.26994605554804
12,NT,Preparation,1.36237561118659
12,NT,Preparation,2.15277514236222
12,NT,Preparation,1.81907647810719
12,NT,Preparation,2.35222434469043
12,NT,Preparation,2.37553103685037
12,NT,Preparation,2.1997886040659
12,NT,Preparation,2.20683049346472
12,NT,Preparation,2.30581624141055
12,NT,Preparation,2.46541647453262
12,NT,Preparation,1.83800319608195
12,NT,Preparation,2.48654500333318
12,NT,Preparation,1.42774566339537
12,NT,Preparation,2.08905211186819
12,NT,Preparation,2.37122225938112
12,NT,Lift 1,2.38791423595275
12,NT,Lift 1,2.25807057350764
12,NT,Lift 1,1.50893590255294
12,NT,Lift 1,2.51291350931078
12,NT,Lift 1,2.13275008114175
12,NT,Lift 1,1.75198917573995
12,NT,Lift 1,2.09656725250858
12,NT,Lift 1,1.98407469227121
12,NT,Lift 1,2.2349393779836
12,NT,Lift 1,2.27980534206112
12,NT,Lift 1,1.87921645281442
12,NT,Lift 1,1.64405892265785
12,NT,Lift 1,1.89478040549876
12,NT,Lift 1,2.04166974049851
12,NT,Lift 2,2.57197817713498
12,NT,Lift 2,2.41470019748624
12,NT,Lift 2,2.24130317756545
12,NT,Lift 2,1.64860466531074
12,NT,Lift 2,1.87332194031148
12,NT,Lift 2,2.17852956951639
12,NT,Lift 2,2.01295827543585
12,NT,Lift 2,1.82818346053162
12,NT,Lift 2,2.21502092988155
12,NT,Lift 2,1.4929347584338
12,NT,Lift 2,2.02814877726834
12,NT,Lift 2,1.8427339497268
12,NT,Lift 2,2.23216514704648
12,NT,Lift 2,1.7458069064861
13,NT,Preparation,1.7567800019836
13,NT,Preparation,1.35219167679861
